ID,Class,Skill,Talent Point Cost,Talent Level,Tooltip,Talent Level Necessary,Character Level Necessary
101010,Common,#############,1,1,Received damage decreases by 50% fof 5 seconds after resurrection,5,1
101010,Common,#############,1,2,Received damage decreases by 50% fof 6 seconds after resurrection,5,1
101010,Common,#############,2,3,Received damage decreases by 50% fof 7 seconds after resurrection,5,1
101010,Common,#############,2,4,Received damage decreases by 50% fof 8 seconds after resurrection,10,1
101010,Common,#############,3,5,Received damage decreases by 50% fof 9 seconds after resurrection,10,1
101010,Common,#############,3,6,Received damage decreases by 50% fof 10 seconds after resurrection,10,1
101010,Common,#############,4,7,Received damage decreases by 50% fof 11 seconds after resurrection,15,1
101010,Common,#############,4,8,Received damage decreases by 50% fof 12 seconds after resurrection,15,1
101010,Common,#############,5,9,Received damage decreases by 50% fof 13 seconds after resurrection,15,1
101010,Common,#############,5,10,Received damage decreases by 50% fof 14 seconds after resurrection,20,1
101020,Common,#############,1,1,Movement Speed increases by 30 for 5 seconds after resurrection. Ends in combat mode,3,1
101020,Common,#############,1,2,Movement Speed increases by 40 for 5 seconds after resurrection. Ends in combat mode,3,1
101020,Common,#############,2,3,Movement Speed increases by 50 for 5 seconds after resurrection. Ends in combat mode,6,1
101020,Common,#############,2,4,Movement Speed increases by 60 for 5 seconds after resurrection. Ends in combat mode,6,1
101020,Common,#############,3,5,Movement Speed increases by 70 for 5 seconds after resurrection. Ends in combat mode,9,1
101020,Common,#############,3,6,Movement Speed increases by 80 for 6 seconds after resurrection. Ends in combat mode,9,1
101020,Common,#############,4,7,Movement Speed increases by 90 for 7 seconds after resurrection. Ends in combat mode,12,1
101020,Common,#############,4,8,Movement Speed increases by 100 for 8 seconds after resurrection. Ends in combat mode,12,1
101020,Common,#############,5,9,Movement Speed increases by 110 for 9 seconds after resurrection. Ends in combat mode,15,1
101020,Common,#############,5,10,Movement Speed increases by 120 for 10 seconds after resurrection. Ends in combat mode,15,1
102010,Common,#############,1,1,Movement Speed increases by 20 for 5 when traveling on mounts. Effect cooldown is 5minutes,9,40
102010,Common,#############,2,2,Movement Speed increases by 20 for 6 when traveling on mounts. Effect cooldown is 5minutes,14,40
102010,Common,#############,3,3,Movement Speed increases by 20 for 7 when traveling on mounts. Effect cooldown is 5minutes,19,40
102010,Common,#############,4,4,Movement Speed increases by 20 for 8 when traveling on mounts. Effect cooldown is 5minutes,24,40
102010,Common,#############,5,5,Movement Speed increases by 20 for 9 when traveling on mounts. Effect cooldown is 5minutes,29,40
102010,Common,#############,5,6,Movement Speed increases by 20 for 10 when traveling on mounts. Effect cooldown is 5minutes,34,40
102010,Common,#############,5,7,Movement Speed increases by 20 for 11 when traveling on mounts. Effect cooldown is 5minutes,39,40
111000,Common,#############,1,1,Power increases by 2,1,1
111000,Common,#############,1,2,Power increases by 3,8,8
111000,Common,#############,2,3,Power increases by 4,15,15
111000,Common,#############,2,4,Power increases by 5,22,22
111000,Common,#############,3,5,Power increases by 6,29,29
111000,Common,#############,3,6,Power increases by 7,36,37
111000,Common,#############,4,7,Power increases by 8,43,44
111000,Common,#############,4,8,Power increases by 9,50,51
111000,Common,#############,5,9,Power increases by 10,57,58
111000,Common,#############,5,10,Power increases by 12,64,65
111000,Common,#############,5,11,Power increases by 13,71,65
111000,Common,#############,5,12,Power increases by 14,78,65
111000,Common,#############,5,13,Power increases by 15,85,65
111000,Common,#############,5,14,Power increases by 16,92,65
111000,Common,#############,5,15,Power increases by 17,99,65
111000,Common,#############,5,16,Power increases by 18,106,65
111000,Common,#############,5,17,Power increases by 19,113,65
111000,Common,#############,5,18,Power increases by 20,120,65
111000,Common,#############,5,19,Power increases by 21,127,65
111000,Common,#############,5,20,Power increases by 23,134,65
112000,Common,#############,1,1,Endurance increases by 2,2,1
112000,Common,#############,1,2,Endurance increases by 3,9,8
112000,Common,#############,1,3,Endurance increases by 4,16,15
112000,Common,#############,2,4,Endurance increases by 5,23,22
112000,Common,#############,2,5,Endurance increases by 6,30,29
112000,Common,#############,2,6,Endurance increases by 7,37,37
112000,Common,#############,3,7,Endurance increases by 8,44,44
112000,Common,#############,3,8,Endurance increases by 9,51,51
112000,Common,#############,3,9,Endurance increases by 10,58,58
112000,Common,#############,4,10,Endurance increases by 12,65,65
112000,Common,#############,4,11,Endurance increases by 13,72,65
112000,Common,#############,4,12,Endurance increases by 14,79,65
112000,Common,#############,5,13,Endurance increases by 15,86,65
112000,Common,#############,5,14,Endurance increases by 16,93,65
112000,Common,#############,5,15,Endurance increases by 17,100,65
112000,Common,#############,5,16,Endurance increases by 18,107,65
112000,Common,#############,5,17,Endurance increases by 19,114,65
112000,Common,#############,5,18,Endurance increases by 20,121,65
112000,Common,#############,5,19,Endurance increases by 21,128,65
112000,Common,#############,5,20,Endurance increases by 23,135,65
112010,Common,#############,2,1,"Increases Crit Resist for 5 seconds by 30% chance when critically attacked. Crit Resist increases by 15 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 30 in total maximum",11,20
112010,Common,#############,2,2,"Increases Crit Resist for 5 seconds by 30% chance when critically attacked. Crit Resist increases by 15 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 35 in total maximum",16,20
112010,Common,#############,2,3,"Increases Crit Resist for 5 seconds by 30% chance when critically attacked. Crit Resist increases by 15 when critically attacked for the first time, and increases by 5 with each attacks from enemy. Can increase 40 in total maximum",21,20
